,iid,partner,pid,gender,age,age_o,int_corr,samerace,date,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr,sinc,intel,fun,amb,shar,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,goal_2.0,goal_3.0,goal_4.0,goal_5.0,goal_6.0,goal_nan
5166,348,17,377.0,0,348.0,348.0,-0.07,1,6.0,5.0,6.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,15.0,25.0,15.0,15.0,15.0,15.0,25.0,20.0,10.0,20.0,15.0,10.0,1,0,0,0,0,0
2138,157,3,160.0,0,157.0,157.0,0.42,0,6.0,4.0,7.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,10.0,9.0,8.0,14.29,16.33,16.33,18.37,18.37,16.33,16.0,18.0,18.0,18.0,14.0,16.0,0,0,0,0,0,0
5515,367,12,352.0,1,367.0,367.0,0.08,0,4.0,8.0,7.0,7.0,8.0,7.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,30.0,15.0,20.0,25.0,5.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,0,1,0,0,0,0
940,69,3,58.0,1,69.0,69.0,0.21,0,6.0,3.0,5.0,9.0,5.0,8.0,8.0,4.0,7.0,4.0,2.0,3.0,1.0,50.0,10.0,30.0,10.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,0,0,0,1,0
7802,526,19,549.0,0,526.0,526.0,0.38,0,5.0,6.0,3.0,6.0,9.0,7.0,10.0,10.0,5.0,8.0,10.0,5.0,5.0,10.0,10.0,30.0,20.0,10.0,15.0,20.0,20.0,20.0,20.0,0.0,20.0,0,0,0,0,0,0
1793,126,11,120.0,1,126.0,126.0,0.69,0,6.0,6.0,9.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,8.0,25.0,40.0,15.0,10.0,5.0,5.0,10.0,10.0,35.0,35.0,8.0,2.0,0,0,1,0,0,0
717,51,5,25.0,1,51.0,51.0,0.11,1,5.0,3.0,6.0,8.0,2.0,10.0,2.0,6.0,4.0,7.0,6.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,0,0,0,0,0,0
5314,357,3,363.0,0,357.0,357.0,0.37,1,4.0,1.0,6.0,10.0,7.0,7.0,6.0,4.0,8.0,7.0,4.0,4.0,3.0,15.0,20.0,20.0,20.0,20.0,5.0,25.0,20.0,20.0,20.0,5.0,10.0,0,0,0,0,0,0
5724,378,1,341.0,1,378.0,378.0,-0.2,0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,6.0,7.0,6.0,5.0,10.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,0.0,0,0,0,0,1,0
1861,135,1,137.0,0,135.0,135.0,-0.1,0,7.0,6.0,9.0,10.0,7.0,9.0,6.0,8.0,5.0,7.0,7.0,7.0,5.0,18.18,22.73,18.18,13.64,13.64,13.64,17.39,17.39,15.22,17.39,13.04,19.57,0,0,0,0,0,0
7794,526,11,541.0,0,526.0,526.0,-0.39,0,5.0,6.0,3.0,6.0,9.0,7.0,10.0,4.0,7.0,7.0,5.0,7.0,5.0,10.0,10.0,30.0,20.0,10.0,15.0,40.0,30.0,0.0,20.0,0.0,10.0,0,0,0,0,0,0
8082,539,13,521.0,1,539.0,539.0,-0.16,1,4.0,7.0,8.0,8.0,9.0,10.0,10.0,5.0,9.0,8.0,6.0,7.0,3.0,30.0,10.0,20.0,15.0,15.0,10.0,10.0,30.0,20.0,15.0,15.0,10.0,0,0,0,0,0,0
3484,242,5,247.0,0,242.0,242.0,-0.01,0,7.0,6.0,7.0,9.0,7.0,8.0,4.0,1.0,7.0,6.0,2.0,2.0,3.0,20.0,20.0,25.0,20.0,5.0,10.0,20.0,30.0,10.0,15.0,0.0,25.0,0,1,0,0,0,0
8229,546,6,514.0,1,546.0,546.0,0.18,1,4.0,8.0,9.0,8.0,10.0,8.0,7.0,5.0,8.0,5.0,8.0,6.0,7.0,35.0,10.0,20.0,25.0,5.0,5.0,20.0,20.0,20.0,15.0,5.0,20.0,1,0,0,0,0,0
1768,124,3,114.0,1,124.0,124.0,-0.04,0,4.0,6.0,8.0,8.0,10.0,10.0,10.0,5.0,6.0,8.0,7.0,7.0,7.0,40.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,1,0,0,0,0,0
4425,292,16,267.0,1,292.0,292.0,-0.28,0,2.0,6.0,8.0,10.0,8.0,10.0,10.0,5.0,10.0,7.0,4.0,5.0,4.0,20.0,18.0,20.0,17.0,10.0,15.0,20.0,30.0,10.0,15.0,10.0,15.0,0,0,0,0,0,0
1729,120,4,125.0,0,120.0,120.0,0.53,0,4.0,3.0,6.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,6.0,8.0,5.0,10.0,10.0,35.0,35.0,8.0,2.0,20.0,15.0,20.0,15.0,12.0,18.0,0,0,0,1,0,0
897,64,10,75.0,0,64.0,64.0,-0.17,0,6.0,3.0,8.0,8.0,6.0,9.0,9.0,8.0,6.0,8.0,5.0,8.0,5.0,10.0,25.0,25.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,1,0,0,0,0,0
5892,386,16,412.0,0,386.0,386.0,-0.15,1,7.0,4.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,15.0,10.0,30.0,10.0,15.0,20.0,75.0,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0
5722,377,19,359.0,1,377.0,377.0,0.02,0,5.0,6.0,7.0,8.0,8.0,7.0,7.0,5.0,7.0,7.0,4.0,8.0,2.0,25.0,20.0,10.0,20.0,15.0,10.0,9.0,17.0,23.0,15.0,14.0,22.0,0,0,0,0,0,0
4515,298,8,315.0,0,298.0,298.0,0.47,1,6.0,1.0,7.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,30.0,20.0,10.0,15.0,15.0,6.67,19.05,42.86,9.52,14.29,7.62,1,0,0,0,0,0
240,23,9,48.0,0,23.0,23.0,0.58,0,1.0,5.0,5.0,8.0,6.0,7.0,8.0,6.0,6.0,6.0,8.0,6.0,5.0,10.0,20.0,40.0,10.0,10.0,10.0,30.0,15.0,25.0,25.0,5.0,0.0,0,0,0,0,0,0
5702,376,19,359.0,1,376.0,376.0,0.28,0,5.0,5.0,6.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,30.0,10.0,15.0,20.0,15.0,10.0,9.0,17.0,23.0,15.0,14.0,22.0,1,0,0,0,0,0
3522,246,7,240.0,1,246.0,246.0,-0.25,0,7.0,3.0,7.0,8.0,6.0,7.0,6.0,5.0,7.0,7.0,7.0,5.0,5.0,35.0,20.0,10.0,20.0,10.0,5.0,10.0,30.0,30.0,10.0,10.0,10.0,0,0,0,0,0,0
2918,209,11,224.0,0,209.0,209.0,0.16,0,6.0,7.0,7.0,9.0,8.0,7.0,8.0,7.0,7.0,10.0,7.0,8.0,6.0,13.04,21.74,17.39,17.39,15.22,15.22,17.24,17.24,17.24,17.24,13.79,17.24,0,1,0,0,0,0
7428,509,19,549.0,0,509.0,509.0,0.43,0,4.0,6.0,5.0,6.0,4.0,8.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,20.0,30.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,1,0,0,0,0,0
5145,347,14,374.0,0,347.0,347.0,-0.23,0,6.0,5.0,8.0,6.0,10.0,10.0,10.0,5.0,8.0,7.0,5.0,6.0,5.0,30.0,5.0,10.0,20.0,30.0,5.0,50.0,10.0,10.0,10.0,5.0,15.0,0,0,0,1,0,0
447,36,8,47.0,0,36.0,36.0,0.16,1,5.0,6.0,8.0,7.0,8.0,8.0,6.0,1.0,3.0,5.0,1.0,2.0,1.0,20.0,25.0,20.0,15.0,15.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,1,0,0,0,0,0
7036,476,11,491.0,0,476.0,476.0,0.6,0,5.0,5.0,7.0,9.0,5.0,7.0,6.0,9.0,5.0,7.0,8.0,6.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,30.0,10.0,25.0,20.0,8.0,7.0,0,0,0,1,0,0
6867,464,4,457.0,1,464.0,464.0,-0.35,1,3.0,5.0,5.0,8.0,8.0,9.0,10.0,5.0,9.0,9.0,5.0,4.0,2.0,15.0,15.0,15.0,20.0,15.0,20.0,25.0,0.0,25.0,25.0,0.0,25.0,0,0,0,0,0,0
2462,179,5,188.0,0,179.0,179.0,0.46,0,6.0,2.0,8.0,10.0,6.0,8.0,10.0,4.0,8.0,7.0,6.0,7.0,6.0,19.15,21.28,17.02,17.02,12.77,12.77,15.56,11.11,22.22,15.56,20.0,15.56,0,0,0,0,0,0
1984,147,9,166.0,0,147.0,147.0,0.19,0,5.0,5.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,18.0,18.0,20.0,18.0,16.0,10.0,27.78,19.44,19.44,27.78,2.78,2.78,0,0,0,1,0,0
413,34,6,45.0,0,34.0,34.0,-0.05,0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,4.0,5.0,6.0,5.0,6.0,5.0,30.0,5.0,30.0,15.0,15.0,5.0,25.0,15.0,25.0,15.0,0.0,20.0,0,0,0,0,0,0
5448,364,5,345.0,1,364.0,364.0,0.18,0,4.0,6.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,7.0,25.0,25.0,25.0,15.0,10.0,0.0,10.0,20.0,27.0,23.0,15.0,5.0,0,1,0,0,0,0
4257,284,16,267.0,1,284.0,284.0,-0.18,0,5.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,25.0,20.0,25.0,20.0,10.0,0.0,20.0,30.0,10.0,15.0,10.0,15.0,0,0,0,0,0,0
1230,88,7,100.0,0,88.0,88.0,0.54,0,4.0,5.0,9.0,9.0,9.0,9.0,9.0,4.0,10.0,10.0,6.0,10.0,9.0,15.0,15.0,20.0,15.0,20.0,15.0,20.0,25.0,25.0,15.0,5.0,10.0,0,0,0,0,0,0
2544,187,7,180.0,1,187.0,187.0,-0.4,0,4.0,6.0,8.0,9.0,7.0,10.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,16.98,16.98,18.87,16.98,13.21,16.98,15.38,17.31,17.31,19.23,13.46,17.31,1,0,0,0,0,0
7790,526,7,537.0,0,526.0,526.0,0.39,0,5.0,6.0,3.0,6.0,9.0,7.0,10.0,4.0,5.0,7.0,8.0,6.0,5.0,10.0,10.0,30.0,20.0,10.0,15.0,20.0,5.0,25.0,25.0,5.0,20.0,0,0,0,0,0,0
2466,179,9,192.0,0,179.0,179.0,-0.02,0,6.0,2.0,8.0,10.0,6.0,8.0,10.0,6.0,6.0,6.0,6.0,5.0,4.0,19.15,21.28,17.02,17.02,12.77,12.77,19.57,19.57,15.22,17.39,15.22,13.04,0,0,0,0,0,0
6117,398,14,392.0,1,398.0,398.0,0.4,1,3.0,8.0,7.0,6.0,10.0,7.0,8.0,6.0,9.0,9.0,10.0,8.0,6.0,45.0,10.0,10.0,30.0,0.0,5.0,15.0,20.0,15.0,30.0,10.0,10.0,1,0,0,0,0,0
5296,356,3,363.0,0,356.0,356.0,-0.17,0,7.0,4.0,7.0,10.0,8.0,9.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,15.0,25.0,20.0,20.0,0.0,20.0,25.0,20.0,20.0,20.0,5.0,10.0,0,0,0,0,0,0
6907,468,2,482.0,0,468.0,468.0,0.17,0,6.0,4.0,8.0,9.0,6.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,15.0,25.0,15.0,15.0,15.0,15.0,20.0,10.0,22.0,20.0,15.0,13.0,0,0,0,0,0,0
453,36,14,53.0,0,36.0,36.0,0.77,1,5.0,6.0,8.0,7.0,8.0,8.0,6.0,9.0,8.0,8.0,5.0,6.0,7.0,20.0,25.0,20.0,15.0,15.0,5.0,40.0,15.0,20.0,10.0,5.0,10.0,1,0,0,0,0,0
5309,356,16,376.0,0,356.0,356.0,-0.03,0,7.0,4.0,7.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,7.0,8.0,7.0,15.0,25.0,20.0,20.0,0.0,20.0,30.0,10.0,15.0,20.0,15.0,10.0,0,0,0,0,0,0
1764,123,12,121.0,1,123.0,123.0,-0.28,0,5.0,5.0,8.0,7.0,7.0,7.0,8.0,5.0,4.0,5.0,4.0,5.0,4.0,50.0,10.0,20.0,5.0,5.0,10.0,35.0,15.0,5.0,30.0,15.0,0.0,1,0,0,0,0,0
1439,99,18,93.0,1,99.0,99.0,0.37,1,3.0,8.0,10.0,10.0,10.0,10.0,8.0,5.0,5.0,7.0,5.0,9.0,7.0,30.0,30.0,20.0,10.0,10.0,0.0,14.0,20.0,18.0,24.0,18.0,6.0,0,1,0,0,0,0
7964,534,5,513.0,1,534.0,534.0,-0.11,0,5.0,9.0,7.0,9.0,8.0,9.0,5.0,8.0,8.0,9.0,8.0,8.0,8.0,30.0,30.0,30.0,5.0,2.0,3.0,20.0,20.0,20.0,20.0,5.0,15.0,0,1,0,0,0,0
1589,108,6,81.0,1,108.0,108.0,0.55,1,6.0,5.0,4.0,8.0,3.0,7.0,2.0,8.0,7.0,6.0,7.0,6.0,6.0,10.0,20.0,35.0,20.0,0.0,15.0,10.0,10.0,20.0,20.0,20.0,20.0,0,0,0,0,0,0
2706,198,19,232.0,0,198.0,198.0,0.03,0,2.0,6.0,7.0,9.0,7.0,9.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,15.38,19.23,17.31,19.23,9.62,19.23,17.78,17.78,17.78,17.78,13.33,15.56,1,0,0,0,0,0
3492,243,4,237.0,1,243.0,243.0,0.38,1,6.0,6.0,7.0,9.0,8.0,9.0,5.0,7.0,8.0,7.0,8.0,7.0,6.0,20.0,20.0,20.0,25.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,1,0,0,0,0,0
1484,102,9,84.0,1,102.0,102.0,0.1,0,4.0,6.0,8.0,5.0,7.0,10.0,9.0,9.0,8.0,7.0,5.0,5.0,4.0,30.0,10.0,30.0,20.0,10.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,0,0,0,0,0,0
7806,527,1,531.0,0,527.0,527.0,0.18,0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,4.0,8.0,9.0,3.0,8.0,2.0,50.0,20.0,10.0,5.0,10.0,5.0,15.0,30.0,20.0,20.0,10.0,5.0,0,0,0,0,0,0
6088,397,3,381.0,1,397.0,397.0,0.02,1,5.0,6.0,7.0,7.0,7.0,10.0,9.0,7.0,6.0,6.0,6.0,6.0,5.0,20.0,21.0,21.0,22.0,6.0,10.0,20.0,10.0,20.0,35.0,5.0,10.0,1,0,0,0,0,0
5616,372,13,353.0,1,372.0,372.0,-0.06,0,5.0,5.0,7.0,8.0,8.0,9.0,8.0,5.0,9.0,8.0,4.0,4.0,4.0,30.0,15.0,15.0,20.0,5.0,15.0,15.0,10.0,25.0,25.0,10.0,15.0,1,0,0,0,0,0
3568,251,8,241.0,1,251.0,251.0,-0.01,0,4.0,5.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,7.0,6.0,7.0,6.0,19.0,19.0,19.0,19.0,19.0,5.0,90.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,1,0
5082,344,5,365.0,0,344.0,344.0,0.32,0,4.0,5.0,7.0,7.0,8.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,15.0,15.0,20.0,20.0,15.0,31.58,10.53,15.79,21.05,10.53,10.53,0,1,0,0,0,0
2458,179,1,184.0,0,179.0,179.0,0.38,0,6.0,2.0,8.0,10.0,6.0,8.0,10.0,3.0,7.0,6.0,4.0,6.0,7.0,19.15,21.28,17.02,17.02,12.77,12.77,16.67,16.67,16.67,16.67,16.67,16.67,0,0,0,0,0,0
286,26,7,46.0,0,26.0,26.0,0.22,1,5.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,4.0,5.0,6.0,5.0,4.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,35.0,20.0,10.0,10.0,5.0,0,0,0,0,0,0
2992,213,5,218.0,0,213.0,213.0,0.13,0,4.0,7.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,9.0,6.0,9.0,5.0,15.52,17.24,17.24,17.24,17.24,15.52,20.51,5.13,23.08,12.82,17.95,20.51,1,0,0,0,0,0
6362,412,7,385.0,1,412.0,412.0,-0.4,1,5.0,4.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,75.0,5.0,5.0,5.0,5.0,5.0,25.0,20.0,20.0,20.0,10.0,5.0,0,0,0,0,0,0
4236,283,16,267.0,1,283.0,283.0,-0.51,1,4.0,5.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,10.0,15.0,10.0,15.0,0,0,0,0,0,0
5017,340,4,325.0,1,340.0,340.0,0.21,0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,5.0,6.0,8.0,10.0,5.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,10.0,20.0,20.0,10.0,10.0,30.0,0,0,0,0,0,1
506,40,3,23.0,1,40.0,40.0,0.22,1,7.0,3.0,3.0,10.0,8.0,9.0,5.0,5.0,4.0,3.0,7.0,4.0,3.0,25.0,20.0,25.0,20.0,10.0,0.0,10.0,20.0,40.0,10.0,10.0,10.0,1,0,0,0,0,0
1792,126,10,119.0,1,126.0,126.0,0.47,0,6.0,6.0,9.0,10.0,9.0,9.0,9.0,6.0,9.0,8.0,9.0,7.0,7.0,25.0,40.0,15.0,10.0,5.0,5.0,50.0,15.0,10.0,10.0,10.0,5.0,0,0,1,0,0,0
7778,525,17,547.0,0,525.0,525.0,0.48,1,4.0,6.0,6.0,10.0,8.0,10.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,10.0,15.0,30.0,20.0,15.0,10.0,25.0,20.0,20.0,20.0,0.0,15.0,1,0,0,0,0,0
4665,309,4,297.0,1,309.0,309.0,0.53,1,3.0,7.0,7.0,8.0,9.0,9.0,7.0,10.0,10.0,8.0,8.0,7.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,25.0,15.0,15.0,10.0,10.0,0,1,0,0,0,0
6480,422,5,420.0,1,422.0,422.0,0.72,1,4.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,30.0,25.0,20.0,10.0,10.0,5.0,10.0,10.0,40.0,10.0,15.0,15.0,1,0,0,0,0,0
7068,478,13,493.0,0,478.0,478.0,-0.05,0,4.0,4.0,7.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,20.0,20.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,10.0,10.0,0,0,0,0,0,0
3571,252,2,274.0,0,252.0,252.0,0.47,1,6.0,10.0,9.0,9.0,9.0,9.0,10.0,4.0,5.0,6.0,6.0,6.0,6.0,0.0,25.0,25.0,25.0,25.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,0,0,0,0,0,0
5487,366,4,344.0,1,366.0,366.0,0.36,0,4.0,5.0,6.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,14.0,18.0,17.0,16.0,15.0,20.0,15.0,15.0,15.0,20.0,20.0,15.0,0,0,0,0,0,0
4747,315,2,295.0,1,315.0,315.0,0.14,1,5.0,5.0,6.0,10.0,6.0,8.0,7.0,7.0,7.0,9.0,7.0,4.0,3.0,6.67,19.05,42.86,9.52,14.29,7.62,10.0,18.0,20.0,16.0,16.0,20.0,0,1,0,0,0,0
4708,312,5,298.0,1,312.0,312.0,0.24,1,4.0,5.0,8.0,7.0,7.0,9.0,9.0,5.0,7.0,7.0,5.0,5.0,4.0,25.0,5.0,30.0,15.0,5.0,20.0,10.0,30.0,20.0,10.0,15.0,15.0,1,0,0,0,0,0
4787,317,15,307.0,1,317.0,317.0,0.31,0,4.0,7.0,7.0,3.0,8.0,8.0,5.0,7.0,7.0,7.0,6.0,8.0,9.0,50.0,0.0,20.0,20.0,0.0,10.0,10.0,20.0,20.0,15.0,20.0,15.0,0,0,0,0,0,0
6222,404,11,389.0,1,404.0,404.0,-0.05,1,5.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,25.0,14.0,25.0,25.0,3.0,8.0,20.0,30.0,20.0,20.0,0.0,10.0,1,0,0,0,0,0
5036,341,13,373.0,0,341.0,341.0,-0.13,0,6.0,5.0,7.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,20.0,0.0,75.0,5.0,5.0,10.0,0.0,5.0,0,0,0,0,0,0
145,15,6,6.0,1,15.0,15.0,0.35,0,4.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,6.0,30.0,10.0,20.0,10.0,10.0,20.0,10.0,25.0,20.0,25.0,5.0,15.0,0,0,0,0,0,0
7030,476,5,485.0,0,476.0,476.0,-0.15,0,5.0,5.0,7.0,9.0,5.0,7.0,6.0,7.0,8.0,8.0,8.0,5.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,15.0,20.0,15.0,15.0,15.0,0,0,0,1,0,0
7315,495,5,470.0,1,495.0,495.0,-0.18,0,2.0,6.0,7.0,7.0,7.0,8.0,9.0,6.0,7.0,7.0,6.0,7.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,1,0,0,0,0,0
7147,484,2,467.0,1,484.0,484.0,0.56,0,6.0,6.0,4.0,8.0,2.0,9.0,9.0,9.0,6.0,8.0,7.0,7.0,6.0,16.0,16.0,20.0,16.0,16.0,16.0,20.0,20.0,20.0,20.0,20.0,0.0,0,0,0,0,0,0
